,Released,ReleasedWorldwide,Title,TheatricalDistributor,Genre,Source,ProductionMethod,CreativeType,ProductionBudget,Opening WeekendTheaters,MaximumTheaters,TheatricalEngagements,Opening WeekendRevenue,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office,tconst,Released_dt,year,franchise
890,"Aug 15, 2018","Aug 15, 2018",Crazy Rich Asians,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,30000000,3384,3865,27129,26510140,174532921,175490761,63566790,238099711,tt3104988,2018-08-15 00:00:00,2018,0
383,"Jul 29, 2011","Jul 29, 2011","Crazy, Stupid, Love.",Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,50000000,3020,3020,18512,19104303,84351197,97434673,62791131,147142328,tt1570728,2011-07-29 00:00:00,2011,0
672,"Nov 25, 2015","Nov 25, 2015",Creed,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,37000000,3284,3502,19042,29632823,109767581,118986028,63800000,173567581,tt1632705,2015-11-25 00:00:00,2015,1
466,"May 11, 2012","May 9, 2012",Dark Shadows,Warner Bros.,Black Comedy,Based on TV,Live Action,Fantasy,150000000,3755,3755,18166,29685274,79727149,91746313,158475519,238202668,tt1077368,2012-05-11 00:00:00,2012,1
1733,"Nov 8, 2019","Oct 31, 2019",Doctor Sleep,Warner Bros.,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,45000000,3855,3855,11008,14114124,31581712,31581712,40274527,71856239,tt5606664,2019-11-08 00:00:00,2019,0
42,"Sep 23, 2011","Sep 23, 2011",Dolphin Tale,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,37000000,3507,3515,22578,19152401,72286779,83497797,23781945,96068724,tt1564349,2011-09-23 00:00:00,2011,1
153,"Sep 12, 2014","Sep 12, 2014",Dolphin Tale 2,Warner Bros.,Drama,Original Screenplay,Live Action,Kids Fiction,36000000,3656,3656,16995,15873397,42024533,47116851,15800000,57824533,tt2978462,2014-09-12 00:00:00,2014,1
1070,"Nov 5, 2010","Nov 5, 2010",Due Date,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,3355,3365,19769,32689406,100539043,116714476,111200000,211739043,tt1231583,2010-11-05 00:00:00,2010,0
820,"Jul 21, 2017","Jul 18, 2017",Dunkirk,Warner Bros.,Action,Original Screenplay,Live Action,Dramatization,150000000,3720,4014,29843,50513488,190068280,194067644,329383734,519452014,tt5013056,2017-07-21 00:00:00,2017,0
1081,"Jan 29, 2010","Jan 29, 2010",Edge of Darkness,Warner Bros.,Thriller/Suspense,Based on TV,Live Action,Contemporary Fiction,60000000,3066,3066,13134,17214384,43313890,50285835,39498566,82812456,tt1226273,2010-01-29 00:00:00,2010,0
610,"Jun 6, 2014","May 28, 2014",Edge of Tomorrow,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,178000000,3490,3505,17714,28760246,100206256,112348747,266822724,367028980,tt1631867,2014-06-06 00:00:00,2014,0
1424,"Jun 3, 2015","Jun 3, 2015",Entourage,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,30000000,3108,3108,8727,10283250,32363404,35165927,14075134,46438538,tt1674771,2015-06-03 00:00:00,2015,0
844,"May 19, 2017","May 19, 2017","Everything, Everything",Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,10000000,2801,2801,10553,11727390,34121140,34843889,27481996,61603136,tt5001718,2017-05-19 00:00:00,2017,0
414,"Dec 25, 2011","Dec 25, 2011",Extremely Loud & Incredibly Close,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,40000000,6,2630,10681,72348,31847881,36650598,23400000,55247881,tt0477302,2011-12-25 00:00:00,2011,0
736,"Nov 18, 2016","Nov 14, 2016",Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,Spin-Off,Animation/Live Action,Fantasy,180000000,4144,4144,26479,74403387,234037575,247407093,577686810,811724385,tt3183660,2016-11-18 00:00:00,2016,1
891,"Nov 16, 2018","Nov 14, 2018",Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,Adventure,Spin-Off,Animation/Live Action,Fantasy,200000000,4163,4163,21049,62163104,159555901,160416396,491724574,651280475,tt4123430,2018-11-16 00:00:00,2018,1
1616,"Dec 22, 2017","Dec 22, 2017",Father Figures,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,25000000,2902,2902,8014,3287451,17501244,17799510,3537197,21038441,tt1966359,2017-12-22 00:00:00,2017,0
